Date,Open,High,Low,Vol.,Change %
09/06/2021,233.88,237.94,232.18,17.22M,-3.63%
09/03/2021,244.5,247.96,244.12,17.41M,0.40%
09/02/2021,246.0,247.5,242.34,13.37M,-0.43%
09/01/2021,248.84,248.9,241.4,14.04M,-0.48%
08/31/2021,252.0,253.56,245.3,20.55M,-1.34%
08/30/2021,246.82,251.88,246.76,8.60M,1.70%
08/27/2021,242.02,246.76,240.68,7.68M,2.23%
08/26/2021,244.0,245.9,239.42,14.99M,-1.36%
08/25/2021,238.86,246.42,238.72,12.02M,2.21%
08/24/2021,240.1,241.66,237.5,8.93M,-0.23%
08/23/2021,239.52,240.62,236.2,9.54M,0.49%
08/20/2021,240.0,241.26,237.22,8.78M,-0.72%
08/19/2021,245.0,245.0,237.0,20.27M,-2.16%
08/18/2021,250.5,251.68,245.26,11.58M,-1.97%
08/17/2021,251.0,252.76,250.2,8.62M,-0.19%
08/16/2021,250.0,252.92,249.64,7.42M,0.14%
08/13/2021,252.68,252.68,249.4,7.90M,-0.53%
08/12/2021,254.3,254.3,251.36,7.54M,-0.87%
08/11/2021,256.04,257.5,252.7,9.30M,-0.87%
08/10/2021,254.82,257.68,252.78,7.87M,1.07%
08/09/2021,255.12,256.68,250.0,19.63M,-0.82%
08/06/2021,262.34,263.32,255.12,10.47M,-2.41%
08/05/2021,259.0,262.5,257.72,7.42M,1.71%
08/04/2021,258.48,259.74,257.04,7.71M,-0.02%
08/03/2021,256.0,258.96,256.0,7.00M,0.44%
08/02/2021,259.02,260.54,256.12,6.42M,-0.63%
07/30/2021,258.6,259.56,255.8,11.98M,0.06%
07/29/2021,257.0,258.98,255.3,9.40M,0.80%
07/28/2021,256.5,258.3,254.58,11.30M,-0.11%
07/27/2021,248.0,256.8,247.46,17.65M,3.10%
07/26/2021,245.96,249.08,245.1,7.77M,0.84%
07/23/2021,248.1,249.3,244.76,7.32M,-0.38%
07/22/2021,243.5,248.5,242.74,14.43M,2.10%
07/21/2021,241.44,242.98,239.22,8.19M,0.78%
07/20/2021,234.2,241.34,231.56,13.23M,3.11%
07/19/2021,237.0,238.12,230.82,10.28M,-2.11%
07/16/2021,242.0,244.36,236.68,11.68M,-1.08%
07/15/2021,236.0,242.34,235.92,10.34M,1.79%
07/14/2021,238.02,241.98,236.18,9.50M,-0.99%
07/13/2021,236.18,242.0,233.52,16.79M,1.44%
07/12/2021,234.3,236.42,230.3,9.12M,0.86%
07/09/2021,225.7,234.48,225.16,13.83M,3.40%
07/08/2021,229.84,232.56,223.7,10.83M,-1.13%
07/07/2021,222.02,229.4,222.02,9.85M,3.02%
07/06/2021,227.48,228.7,221.84,10.72M,-2.13%
07/05/2021,230.2,230.2,226.14,5.67M,-1.26%
07/02/2021,228.24,232.18,227.84,8.60M,0.48%
07/01/2021,230.78,232.6,227.0,7.31M,-0.91%
06/30/2021,226.26,230.78,224.7,12.93M,1.98%
06/29/2021,231.68,231.68,224.82,16.63M,-2.38%
06/28/2021,231.26,236.88,230.2,13.02M,0.17%
06/25/2021,234.4,236.44,226.22,26.53M,-1.76%
06/24/2021,246.4,247.7,230.6,31.00M,-4.53%
06/23/2021,249.0,250.92,245.04,9.50M,-0.97%
06/22/2021,252.0,253.48,248.14,11.16M,-3.83%
06/21/2021,260.06,260.5,253.82,15.68M,-0.62%
06/18/2021,260.0,261.68,255.94,14.20M,0.18%
06/17/2021,262.48,263.18,259.02,9.73M,-1.06%
06/16/2021,265.82,266.42,261.88,8.04M,-1.38%
06/15/2021,271.74,273.2,265.06,9.19M,-1.97%
06/14/2021,272.0,274.4,268.8,5.45M,0.04%
06/11/2021,265.6,275.56,263.9,13.41M,2.75%
06/10/2021,262.22,265.78,261.3,7.19M,0.92%
06/09/2021,262.0,262.74,259.6,7.41M,0.12%
06/08/2021,263.98,265.58,260.12,6.94M,-0.80%
06/07/2021,262.46,265.1,260.3,5.81M,0.41%
06/04/2021,263.86,263.86,257.04,8.05M,-0.30%
06/03/2021,265.94,267.96,261.8,6.86M,-0.84%
06/02/2021,266.62,267.96,262.7,9.32M,-0.26%
06/01/2021,262.1,266.64,262.04,11.04M,1.81%
05/31/2021,262.0,264.3,259.08,10.07M,-0.63%
05/28/2021,268.24,269.68,260.12,11.54M,-1.38%
05/27/2021,266.58,271.16,264.26,34.59M,0.14%
05/26/2021,276.22,278.36,264.64,16.66M,-3.22%
05/25/2021,273.4,276.06,272.78,7.18M,1.18%
05/24/2021,271.0,272.5,268.4,5.39M,0.79%
05/21/2021,272.8,272.88,268.5,6.77M,-0.54%
05/20/2021,265.8,273.06,265.8,8.31M,2.31%
05/19/2021,270.94,272.54,264.0,7.85M,-2.29%
05/18/2021,269.82,274.38,268.94,6.93M,1.18%
05/17/2021,269.78,270.1,266.38,4.44M,0.05%
05/14/2021,268.0,271.12,264.24,6.23M,-0.33%
05/13/2021,273.5,274.16,265.36,9.45M,-1.47%
05/12/2021,272.24,276.76,272.24,9.56M,0.24%
05/11/2021,272.0,273.78,270.1,7.41M,0.33%
05/10/2021,269.92,273.22,269.04,11.26M,-1.47%
05/07/2021,266.82,276.32,266.5,10.36M,3.15%
05/06/2021,271.56,272.8,264.68,11.96M,-1.07%
05/05/2021,266.02,270.98,263.12,6.97M,1.73%
05/04/2021,264.9,267.0,261.16,8.36M,0.46%
04/30/2021,269.02,270.76,263.2,9.09M,-2.29%
04/29/2021,270.08,273.34,267.52,6.31M,0.44%
04/28/2021,270.1,274.56,265.52,13.28M,-0.49%
04/27/2021,280.18,280.24,268.4,18.67M,-2.95%
04/26/2021,276.96,282.46,276.22,10.51M,1.45%
04/23/2021,274.08,276.2,272.34,6.71M,1.16%
04/22/2021,268.98,275.8,267.0,14.86M,1.42%
04/21/2021,260.08,268.78,260.08,12.60M,2.51%
04/20/2021,260.9,263.98,259.32,9.01M,0.08%
04/19/2021,266.14,270.7,259.04,15.49M,-1.68%
04/16/2021,255.16,266.06,254.62,12.58M,4.92%
04/15/2021,249.2,255.32,249.0,10.23M,0.74%
04/14/2021,255.2,256.88,249.74,9.28M,-1.27%
04/13/2021,255.5,260.64,253.0,14.93M,-0.08%
04/12/2021,245.0,255.88,244.24,13.76M,3.90%
04/09/2021,243.94,245.48,240.28,8.48M,0.61%
04/08/2021,241.94,244.7,240.2,8.75M,1.25%
04/07/2021,236.54,242.34,231.14,12.82M,1.71%
04/06/2021,235.16,239.9,235.16,8.06M,0.24%
04/05/2021,239.0,239.4,234.7,5.20M,-1.50%
04/02/2021,237.56,240.18,236.5,2.74M,1.18%
04/01/2021,242.2,244.88,235.14,11.02M,-2.06%
03/31/2021,236.2,244.18,234.9,15.06M,2.99%
03/30/2021,229.7,236.2,229.7,10.85M,2.48%
03/29/2021,225.42,230.0,223.28,9.11M,1.97%
03/26/2021,219.02,225.98,218.72,12.43M,3.10%
03/25/2021,215.5,219.08,215.5,7.75M,1.26%
03/24/2021,212.54,217.88,210.82,8.68M,1.42%
03/23/2021,219.26,219.26,211.86,10.68M,-2.57%
03/22/2021,218.1,219.4,217.0,5.21M,-0.12%
03/19/2021,216.0,221.2,215.1,13.48M,1.07%
03/18/2021,216.0,219.94,215.54,11.00M,0.40%
03/17/2021,215.86,217.48,212.78,9.15M,-0.02%
03/16/2021,218.58,218.58,213.52,10.56M,-1.18%
03/15/2021,214.72,219.76,214.72,18.14M,0.82%
03/12/2021,214.5,216.24,211.5,8.11M,1.06%
03/11/2021,209.38,213.78,209.14,10.44M,2.42%
03/10/2021,210.2,210.58,206.64,8.91M,-0.72%
03/09/2021,213.68,215.0,206.5,14.13M,-1.45%
03/05/2021,218.06,218.14,208.8,25.69M,-1.32%
03/04/2021,227.0,227.32,215.9,12.64M,-4.69%
03/03/2021,222.32,228.96,222.32,11.69M,2.07%
03/02/2021,223.1,225.0,221.2,6.50M,-0.89%
03/01/2021,224.34,224.84,219.2,8.08M,0.94%
02/26/2021,215.54,226.2,215.0,19.22M,2.23%
02/25/2021,211.94,220.54,211.66,11.82M,2.52%
02/24/2021,212.94,214.4,209.7,10.81M,-1.26%
02/22/2021,210.0,215.3,208.36,8.66M,2.45%
02/20/2021,209.22,211.2,207.66,2.05M,0.38%
02/19/2021,203.5,209.22,202.1,7.80M,1.96%
02/18/2021,207.42,207.42,203.4,5.75M,-1.29%
02/17/2021,208.12,209.6,204.5,7.57M,-0.37%
02/16/2021,208.48,209.42,206.18,5.66M,0.33%
02/15/2021,208.82,209.92,205.08,7.80M,-0.37%
02/12/2021,206.5,208.32,200.64,8.18M,0.82%
02/11/2021,207.72,209.98,205.8,8.15M,-0.36%
02/10/2021,208.52,208.82,204.74,6.60M,-0.22%
02/09/2021,213.02,214.3,205.7,8.26M,-2.52%
02/08/2021,211.82,213.1,210.34,3.89M,0.90%
02/05/2021,213.0,213.26,209.12,3.71M,-0.64%
02/04/2021,213.4,214.58,210.9,6.91M,-0.41%
02/03/2021,213.08,214.18,211.56,7.47M,0.47%
02/02/2021,212.02,215.38,211.82,9.11M,0.33%
02/01/2021,211.54,213.82,210.04,5.08M,0.61%
01/29/2021,215.02,215.02,209.1,11.05M,-2.16%
01/28/2021,216.6,217.18,212.98,8.50M,-1.25%
01/27/2021,220.1,221.4,216.6,7.82M,-0.64%
01/26/2021,220.3,222.28,218.0,4.31M,-0.52%
01/25/2021,221.8,222.2,218.0,6.63M,-0.14%
01/22/2021,221.5,222.18,216.42,8.92M,-1.02%
01/21/2021,224.8,225.7,219.5,7.99M,-0.44%
01/20/2021,220.52,224.5,218.88,9.04M,2.14%
01/19/2021,220.96,222.0,217.72,6.51M,0.06%
01/18/2021,221.56,221.92,217.76,5.23M,-0.21%
01/15/2021,222.0,226.3,218.1,9.77M,-1.48%
01/14/2021,213.02,225.24,211.34,16.20M,3.79%
01/13/2021,218.76,219.2,211.88,9.12M,-1.69%
01/12/2021,219.6,221.0,216.2,7.26M,-0.45%
01/11/2021,224.72,226.26,215.38,12.03M,-2.66%
01/08/2021,216.8,226.6,215.34,13.38M,4.40%
01/06/2021,217.3,218.32,213.9,4.71M,-0.46%
01/05/2021,214.1,217.3,213.76,7.64M,1.24%
01/04/2021,208.92,216.78,208.92,7.26M,2.57%
12/30/2020,210.02,211.82,205.56,12.08M,-0.46%
12/29/2020,219.58,220.74,207.42,18.03M,-4.81%
12/28/2020,218.3,221.48,218.1,10.80M,-1.77%
12/25/2020,220.0,225.44,220.0,12.10M,2.07%
12/24/2020,218.98,220.64,217.4,6.80M,0.72%
